iter	Passed	Remaining
442	1228	1544
443	1231	1541
444	1234	1539
445	1236	1536
446	1239	1533
447	1241	1530
448	1244	1527
449	1248	1526
450	1252	1524
451	1256	1523
452	1260	1522
453	1264	1520
454	1268	1518
455	1275	1521
456	1279	1520
457	1283	1518
458	1287	1517
459	1289	1514
460	1293	1511
461	1295	1508
462	1298	1505
463	1301	1502
464	1303	1499
465	1304	1495
466	1308	1493
467	1311	1490
468	1314	1488
469	1317	1485
470	1321	1483
471	1325	1483
472	1327	1479
473	1329	1475
474	1332	1472
475	1334	1469
476	1337	1466
477	1339	1462
478	1342	1459
479	1343	1455
480	1346	1452
481	1348	1449
482	1350	1445
483	1353	1442
484	1356	1440
485	1358	1436
486	1361	1433
487	1364	1431
488	1367	1429
489	1369	1425
490	1372	1422
491	1375	1420
492	1379	1418
493	1381	1414
494	1383	1411
495	1386	1408
496	1388	1405
497	1394	1405
498	1398	1403
499	1402	1402
500	1404	1399
501	1408	1397
502	1411	1394
503	1414	1391
504	1418	1390
505	1421	1387
506	1423	1384
507	1426	1381
508	1429	1379
509	1432	1376
510	1434	1372
511	1437	1369
512	1440	1367
513	1442	1364
514	1445	1361
515	1448	1358
516	1449	1354
517	1451	1350
518	1454	1348
519	1456	1344
520	1459	1341
521	1461	1338
522	1463	1335
523	1465	1331
524	1468	1328
525	1471	1325
526	1472	1321
527	1475	1319
528	1477	1315
529	1480	1312
530	1482	1309
531	1486	1307
532	1489	1304
533	1491	1301
534	1493	1298
535	1495	1294
536	1498	1291
537	1500	1288
538	1503	1285
539	1505	1282
540	1508	1279
541	1511	1277
542	1513	1274
543	1515	1270
544	1517	1266
545	1520	1263
546	1523	1261
547	1526	1259
548	1528	1255
549	1531	1252
550	1533	1249
551	1535	1246
552	1538	1243
553	1540	1240
554	1542	1236
555	1544	1232
556	1545	1229
557	1549	1227
558	1551	1224
559	1554	1221
560	1556	1217
561	1560	1216
562	1564	1214
563	1568	1212
564	1570	1209
565	1572	1206
566	1577	1204
567	1580	1201
568	1583	1199
569	1585	1196
570	1587	1192
571	1591	1191
572	1594	1187
573	1596	1184
574	1598	1181
575	1601	1178
576	1604	1176
577	1606	1173
578	1608	1169
579	1610	1166
580	1612	1162
581	1615	1160
582	1617	1157
583	1619	1153
584	1622	1151
585	1624	1147
586	1626	1144
587	1628	1141
588	1631	1138
589	1633	1135
590	1634	1131
591	1637	1128
592	1639	1125
593	1643	1123
594	1644	1119
595	1647	1116
596	1648	1113
597	1651	1110
598	1653	1107
599	1655	1103
600	1660	1102
601	1663	1100
602	1666	1097
603	1668	1094
604	1671	1091
605	1673	1088
606	1676	1085
607	1679	1082
608	1681	1079
609	1683	1076
610	1686	1073
611	1688	1070
612	1690	1067
613	1693	1064
614	1696	1061
615	1699	1059
616	1702	1056
617	1704	1053
618	1706	1050
619	1709	1047
620	1711	1044
621	1714	1041
622	1717	1039
623	1720	1036
624	1722	1033
625	1725	1031
626	1728	1028
627	1732	1026
628	1735	1023
629	1737	1020
630	1740	1017
631	1742	1014
632	1745	1012
633	1749	1009
634	1751	1006
635	1754	1004
636	1757	1001
637	1759	998
638	1763	996
639	1764	992
640	1766	989
641	1769	986
642	1772	984
643	1775	981
644	1780	979
645	1783	977
646	1785	974
647	1788	971
648	1791	968
649	1794	966
650	1797	963
651	1800	961
652	1803	958
653	1805	955
654	1808	952
655	1810	949
656	1812	946
657	1814	943
658	1817	940
659	1820	937
660	1823	935
661	1825	932
662	1828	929
663	1831	926
664	1834	923
665	1838	921
666	1840	918
667	1842	915
668	1844	912
669	1848	910
670	1852	908
671	1856	906
672	1859	903
673	1863	901
674	1866	898
675	1868	895
676	1870	892
677	1873	889
678	1875	886
679	1878	884
680	1881	881
681	1884	878
682	1886	875
683	1889	872
684	1891	869
685	1894	867
686	1897	864
687	1900	861
688	1903	859
689	1905	856
690	1907	853
691	1910	850
692	1912	847
693	1915	844
694	1917	841
695	1920	838
696	1923	836
697	1925	833
698	1927	830
699	1931	827
700	1933	824
701	1935	821
702	1938	818
703	1941	816
704	1943	813
705	1945	810
706	1948	807
707	1951	804
708	1958	803
709	1960	800
710	1962	797
711	1966	795
712	1970	793
713	1972	790
714	1974	787
715	1977	784
716	1979	781
717	1983	778
718	1986	776
719	1988	773
720	1991	770
721	1994	767
722	1996	765
723	2001	762
724	2003	759
725	2006	757
726	2009	754
727	2011	751
728	2013	748
729	2015	745
730	2018	742
731	2020	739
732	2023	736
733	2026	734
734	2030	731
735	2033	729
736	2037	727
737	2039	724
738	2042	721
739	2045	718
740	2048	716
741	2050	713
742	2053	710
743	2056	707
744	2058	704
745	2061	701
746	2063	698
747	2068	696
748	2071	694
749	2073	691
750	2076	688
751	2078	685
752	2080	682
753	2082	679
754	2085	676
755	2088	674
756	2090	671
757	2093	668
758	2095	665
759	2098	662
760	2102	660
761	2105	657
762	2107	654
763	2110	651
764	2115	649
765	2118	647
766	2122	644
767	2125	642
768	2129	639
769	2132	637
770	2135	634
771	2137	631
772	2140	628
773	2143	625
